Field Lengths	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max	Min	Max
ISA	2	2	10	10	2	2	10	10	2	2	15	15	2	2	15	15	6	6	4	4	1	1	5	5	9	9	1	1	1	1	1	1																		
IEA	1	5	9	9																																														
ST	3	3	4	9	1	35																																												
SE	1	10	4	9																																														
GS	2	2	2	15	2	15	8	8	4	8	1	9	1	2	1	12																																		
GE	1	6	1	9																																														
BHT	4	4	2	2	1	50	8	8	4	8	2	2																																						
HL	1	12	1	12	1	2	1	1																																										
SBR	1	1	2	2	1	50	4	1	60	5	1	3																																						
PAT	2	2	1	1	2	2	1	1	2	3	1	35	2	2	1	10	1	1																																
NM1	2	3	1	1	1	60	1	35	1	25	1	10	1	10	1	2	2	80	2	2	2	3	1	60																										
N3	1	55	1	55																																														
N4	2	30	2	2	3	15	2	3	1	2	1	30	1	3																																				
DMG	2	3	1	35	1	1	1	1	1	1	1	2	2	3	1	2	1	15	1	3	1	30																												
REF	2	3	1	50	1	80	1	1																																										
PER	2	2	1	60	2	2	1	256	2	2	1	256	2	2	1	256	1	20																																
CLM	1	38	1	18	1	2	1	2	-1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	2	3	1	1	1	3	1	1	1	1	1	2	1	1	2	2	1	2										
DTP	3	3	2	3	1	35																																												
PRV	1	3	2	3	1	50	2	2	-1	-1	3	3																																						
CUR	2	3	3	3	4	10	2	3	3	3	3	3	3	3	8	8	4	8	3	3	8	8	4	8	3	3	8	8	4	8	3	3	8	8	4	8	3	3	8	8	4	8								
PWK	2	2	1	2	1	2	2	3	1	2	2	80	1	80			1	2																																
CN1	2	2	1	18	1	6	1	50	1	6	1	30																																						
AMT	1	3	1	18	1	1																																												
K3	1	80	1	2	-1	-1																																												
NTE	3	3	1	80																																														
CR1	2	2	1	10	1	1	1	1	2	2	1	15	1	55	1	55	1	80	1	80																														
CR2	1	9	1	15	2	3	2	3	2	2	1	15	1	15	1	1	1	1	1	80	1	80	1	1																										
CRC	2	2	1	1	2	3	2	3	2	3	2	3	2	3																																				
HI	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																								
HCP	2	2	1	18	1	18	1	50	1	9	1	50	1	18	1	48	2	2	1	48	2	2	1	15	2	2	1	2	1	2																				
CAS	1	2	1	5	1	18	1	15	1	5	1	18	1	15	1	5	1	18	1	15	1	5	1	18	1	15	1	5	1	18	1	15	1	5	1	18	1	15												
OI	1	2	2	2	1	1	1	1	1	1	1	1																																						
MOA	1	10	1	18	1	50	1	50	1	50	1	50	1	50	1	18	1	18																																
LX	1	6																																																
SV1	-1	-1	1	18	2	2	1	15	1	2	1	2	-1	-1	1	18	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	50	3	15	1	18	1	1	1	1								
SV5	-1	-1	2	2	1	15	1	18	1	18	1	1	1	1																																				
CR3	1	1	2	2	1	15	1	1	1	80																																								
QTY	2	2	1	15	-1	-1	1	30																																										
MEA	2	2	1	3	1	20	-1	-1	1	20	1	20	2	2	2	2	2	2	2	4	1	3	1	30																										
PS1	1	50	1	18	2	2																																												
LIN	1	20	2	2	1	48																																												
CTP	2	2	3	3	1	17	1	15	-1	-1	3	3	1	10	1	18	2	2	1	10	1	2																												
SVD	2	80	1	18	-1	-1	1	48	1	15	1	6																																						
LQ	1	3	1	30																																														
FRM	1	20	1	1	1	50	8	8	1	6																																								
