Name	Loop Parent / Segment Type	Segment Description	Repeats	Qualifiers	Segment Required	Required Fields	Unused Fields	Syntax Rules
1000A		SUBMITTER NAME	1					
	NM1	Submitter Name	1		Y			
	PER	Submitter EDI Contact Information	2		Y			
1000B		RECEIVER NAME	1					
	Table	Receiver Name	1		Y			
2000A		BILLING/PAY-TO PROVIDER HIERARCHICAL LEVEL	>1					
	HL	Billing/Pay-to Provider Hierarchical Level	1		Y			
	PRV	Billing/Pay-to Provider Specialty Information	1		N			
	CUR	Foreign Currency Information	1		N			
2010AA	2000A	BILLING PROVIDER NAME	1					
	NM1	Billing Provider Name	1		Y			
	N3	Billing Provider Address	1		Y			
	N4	Billing Provider City/State/ZIP Code	1		Y			
	REF	Billing Provider Secondary Identification	8		N			
	REF	Credit/Debit Card Billing Information	8		N			
	PER	Billing Provider Contact Information	2		N			
2010AB	2000A	PAY-TO PROVIDER NAME	1					
	NM1	Pay-to Provider Name	1		N			
	N3	Pay-to Provider Address	1		Y			
	N4	Pay-to Provider City/State/ZIP Code	1		Y			
	REF	Pay-to-Provider Secondary Identification	5		N			
2000B	2000A	SUBSCRIBER HIERARCHICAL LEVEL	>1					
	HL	Subscriber Hierarchical Level	1		Y			
	SBR	Subscriber Information	1		Y			
	PAT	Patient Information	1		N			
2010BA	2000B	SUBSCRIBER NAME	1					
	NM1	Subscriber Name	1		Y			
	N3	Subscriber Address	1		N			
	N4	Subscriber City/State/ZIP Code	1		N			
	DMG	Subscriber Demographic Information	1		N			
	REF	Subscriber Secondary Identification	4		N			
	REF	Property and Casualty Claim Number	1		N			
2010BB	2000B	PAYER NAME	1					
	NM1	Payer Name	1		Y			
	N3	Payer Address	1		N			
	N4	Payer City/State/ZIP Code	1		N			
	REF	Payer Secondary Identification	3		N			
2010BC	2010BB	RESPONSIBLE PARTY NAME	1					
	NM1	Responsible Party Name	1		N			
	N3	Responsible Party Address	1		Y			
	N4	Responsible Party City/State/ZIP Code	1		Y			
2010BD	2000B	CREDIT/DEBIT CARD HOLDER NAME	1					
	NM1	Credit/Debit Card Holder Name	1		N			
	REF	Credit/Debit Card Information	2		N			
2000C	2010BD	PATIENT HIERARCHICAL LEVEL	>1					
	HL	Patient Hierarchical Level	1		N			
	PAT	Patient Information	1		Y			
2010CA	2010BD	PATIENT NAME	1					
	NM1	Patient Name	1		Y			
	N3	Patient Address	1		Y			
	N4	Patient City/State/ZIP Code	1		Y			
	DMG	Patient Demographic Information	1		Y			
	REF	Patient Secondary Identification	5		N			
	REF	Property and Casualty Claim Number	1		N			
2300	2010BD	CLAIM INFORMATION	100					
	CLM	Claim Information	1		Y			
	DTP	Date - Initial Treatment	1		N			
	DTP	Date - Date Last Seen	1		N			
	DTP	Date - Onset of Current Illness/Symptom	1		N			
	DTP	Date - Acute Manifestation	5		N			
	DTP	Date - Similar Illness/Symptom Onset	0		N			
	DTP	Date - Accident	0		N			
	DTP	Date - Last Menstrual Period	1		N			
	DTP	Date - Last X-ray	1		N			
	DTP	Date - Hearing and Vision Prescription Date	1		N			
	DTP	Date - Disability Begin	5		N			
	DTP	Date - Disability End	5		N			
	DTP	Date - Last Worked	1		N			
	DTP	Date - Authorized Return to Work	1		N			
	DTP	Date - Admission	1		N			
	DTP	Date - Discharge	1		N			
	DTP	Date - Assumed and Relinquished Care Dates	2		N			
	PWK	Claim Supplemental Information	0		N			
	CN1	Contract Information	1		N			
	AMT	Credit/Debit Card Maximum Amount	1		N			
	AMT	Patient Amount Paid	1		N			
	AMT	Total Purchased Service Amount	1		N			
	REF	Service Authorization Exception Code	1		N			
	REF	Mandatory Medicare (Section 4081) Crossover Indicator	1		N			
	REF	Mammography Certification Number	1		N			
	REF	Prior Authorization or Referral Number	2		N			
	REF	Original Reference Number (ICN/DCN)	1		N			
	REF	Clinical Laboratory Improvement Amendment (CLIA)	0		N			
	REF	Repriced Claim Number	1		N			
	REF	Adjusted Repriced Claim Number	1		N			
	REF	Investigational Device Exemption Number	1		N			
	REF	Claim Identification Number for Clearing Houses and	0		N			
	REF	Ambulatory Patient Group (APG)	4		N			
	REF	Medical Record Number	1		N			
	REF	Demonstration Project Identifier	1		N			
	K3	File Information	0		N			
	NTE	Claim Note	1		N			
	CR1	Ambulance Transport Information	1		N			
	CR2	Spinal Manipulation Service Information	1		N			
	CRC	Ambulance Certification	3		N			
	CRC	Patient Condition Information: Vision	3		N			
	CRC	Homebound Indicator	1		N			
	CRC	EPSDT Referral	1		N			
	HI	Health Care Diagnosis Code	1		N			
	HCP	Claim Pricing/Repricing Information	1		N			
2305	2010BD	HOME HEALTH CARE PLAN INFORMATION	6					
	CR7	Home Health Care Plan Information	1		N			
	HSD	Health Care Services Delivery	3		N			
2310A	2305	REFERRING PROVIDER NAME	2					
	NM1	Referring Provider Name	1		N			
	PRV	Referring Provider Specialty Information	1		N			
	REF	Referring Provider Secondary Identification	5		N			
2310B	2305	RENDERING PROVIDER NAME	1					
	NM1	Rendering Provider Name	1		N			
	PRV	Rendering Provider Specialty Information	1		N			
	REF	Rendering Provider Secondary Identification	5		N			
2310C	2010BD	PURCHASED SERVICE PROVIDER NAME	1					
	NM1	Purchased Service Provider Name	1		N			
