Name	Loop Parent / Segment Type	Segment Description	Repeats	Qualifiers	Segment Required	Required Fields	Unused Fields	Syntax Rules
00ISA		Control Header	>1					
	ISA	Interchange Control Header	>1	"00,03"	Y	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"		
	IEA	Interchange Control Trailer	>1		Y	"1,2"		
01GE		Functional Group	>1					
	GS	Functional Group Header	>1	"005010X222,005010X222A1,005010X222A2"	Y	"1,2,3,4,5,6,7,8"		
	GE	Functional Group Trailer	>1		Y	"1,2"		
		Transaction Set Header	0					
	ST		1	837	Y	"1,2,3"		
	BHT		0	0019	N	"1,2,3,4,5,6"		
1000A		SUBMITTER NAME	1					
	NM1	Submitter Name	1	"41 , NM"	Y	"1,2,3,8,9"	"6,7,10,11"	"P0809,C1110,C1203"
	PER	Submitter EDI Contact Information	2	IC	Y	"1,3,4"	9	"P0304,P0506,P0708"
1000B		RECEIVER NAME	1					
	NM1	Receiver Name	1	40	Y	"1,2,3,8,9"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
2000A		BILLING PROVIDER HIERARCHICAL LEVEL	>1					
	HL	Billing Provider Hierarchical Level	1	20	Y	"1,3,4"	2	
	PRV	Billing Provider Specialty Information	1	BI	N	"1,2,3"	"4,5,6"	P0203
	CUR	Foreign Currency Information	1	85	N	"1,2"	"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"	"C0807,C0907,L101112,C1110,C1210,L131415,C1413,C1513,L161718,C1716,C1816,L192021,C2019,C2119"
2010AA	2000A	BILLING PROVIDER NAME	1					
	NM1	Billing Provider Name	1	85	Y	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	N3	Billing Provider Address	1		Y	1		
	N4	"Billing Provider City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
	REF	Billing Provider Tax Identification	1	"EI ,SY"	Y	"1,2"	"3,4"	R0203
	REF	Billing Provider UPIN/License Information	2	"0B ,1G , RE"	N	"1,2"	"3,4"	R0203
